id_cliente,sector,region,consumo_kwh,costo_miles_cop,area_m2,potencia_instalada_kw,num_equipos,horas_operacion,temperatura_c,factor_potencia,antiguedad_anios,interrupciones_mes,PC1,PC2,cluster,cluster_jerarquico,silueta
CL-0197,Comercial,Andina,1837.0,1306.2,223.8,16.52,30,336,18.8,0.838,17.7,1,2.0498,0.5669,3,3,0.325
CL-0198,Industrial,Caribe,5568.8,3447.7,468.0,41.92,47,420,29.3,0.905,9.2,1,3.4,-1.1083,1,0,0.5481
CL-0199,Residencial,Andina,226.4,192.2,61.5,4.85,4,145,10.9,0.99,0.5,0,-1.6371,-2.6373,2,0,0.3463
CL-0200,Residencial,Caribe,41.7,33.7,47.6,3.2,4,40,26.4,0.916,12.8,4,-3.2137,0.6112,0,1,0.0595
CL-0201,Comercial,Caribe,1524.0,1070.7,337.6,16.11,20,270,32.8,0.915,15.7,1,1.6976,-0.3952,1,0,0.4074
CL-0202,Industrial,Pacifica,8271.9,5422.9,507.2,45.63,43,551,24.9,0.941,10.2,1,3.745,-1.4291,1,0,0.5564
CL-0203,Comercial,Pacifica,929.2,654.8,133.6,10.58,9,282,22.0,0.975,2.5,1,0.4051,-2.2282,1,0,0.2062
CL-0204,Residencial,Caribe,210.0,170.6,56.4,5.27,3,118,31.5,0.952,11.4,1,-1.7564,-0.8747,2,2,0.6936
CL-0205,Residencial,Caribe,66.1,54.3,52.0,2.3,4,85,29.0,0.961,9.4,1,-2.8158,-1.0553,2,2,0.7035
CL-0206,Residencial,Caribe,323.9,274.0,111.5,7.39,8,111,31.2,0.846,16.0,1,-0.5443,0.5937,0,1,0.1608
CL-0207,Residencial,Andina,192.5,168.2,76.1,5.56,9,99,17.6,0.828,19.0,2,-1.0295,1.3901,0,1,0.5761
CL-0208,Comercial,Pacifica,582.8,423.5,178.0,9.39,14,225,26.9,0.911,13.7,3,0.507,0.0845,1,2,0.0826
CL-0209,Residencial,Andina,173.4,146.7,55.8,4.67,6,97,17.7,0.903,14.9,1,-1.626,-0.0136,2,2,0.3932
CL-0210,Comercial,Andina,1401.8,987.3,137.5,17.33,14,269,18.4,0.946,6.9,0,1.0455,-1.8057,1,0,0.449
CL-0211,Comercial,Andina,811.2,559.6,121.3,9.84,15,225,21.6,0.869,15.9,0,0.5934,-0.0543,1,2,0.1387
CL-0212,Comercial,Pacifica,692.8,504.7,126.7,9.2,10,224,27.9,0.835,15.6,7,0.5086,2.1196,0,1,0.0993
CL-0213,Residencial,Andina,45.1,37.2,49.6,3.32,6,49,13.8,0.933,10.3,1,-2.9592,-0.6358,2,2,0.6283
CL-0214,Industrial,Andina,4225.1,2550.2,352.2,26.18,31,498,17.9,0.827,21.5,1,3.0781,0.9505,3,3,0.5118
CL-0215,Comercial,Andina,1281.3,897.8,105.5,10.81,6,285,19.3,0.812,20.4,3,0.7479,1.7517,3,1,0.0641
CL-0216,Comercial,Andina,1158.1,819.5,245.9,14.6,14,270,19.4,0.94,7.8,0,1.1348,-1.6577,1,0,0.4867
CL-0217,Residencial,Andina,319.4,256.6,65.2,5.28,5,153,16.1,0.769,27.0,3,-0.7103,3.0157,0,1,0.4404
CL-0218,Residencial,Caribe,58.2,50.6,26.2,1.55,2,114,31.3,0.948,9.0,1,-3.412,-0.9234,2,2,0.6245
CL-0219,Industrial,Andina,9461.9,6171.8,647.3,57.53,52,498,18.9,0.84,22.0,2,4.2923,1.0211,3,3,0.4794
CL-0220,Residencial,Pacifica,312.2,270.1,103.6,6.71,6,124,31.1,0.866,20.9,3,-0.6508,1.4,0,1,0.496
CL-0221,Residencial,Pacifica,281.7,233.4,87.1,5.87,13,106,24.5,0.778,26.9,7,-0.3791,3.9546,0,1,0.2732
CL-0222,Residencial,Andina,168.8,138.9,93.8,6.75,5,86,16.0,0.798,25.3,2,-1.1584,2.3464,0,1,0.5965
CL-0223,Comercial,Andina,1124.3,768.3,220.6,10.16,17,360,16.4,0.803,23.8,1,1.4916,1.5859,3,3,0.4051
CL-0224,Industrial,Caribe,5367.9,3437.1,459.7,36.28,26,460,28.0,0.825,22.6,7,3.4495,2.629,3,3,0.5142
CL-0225,Residencial,Andina,57.8,47.5,42.0,2.69,3,80,15.2,0.928,9.8,0,-3.012,-0.9159,2,2,0.672
CL-0226,Industrial,Andina,7465.0,4516.3,713.4,46.96,60,500,11.5,0.766,23.4,3,4.3073,2.1981,3,3,0.5793
CL-0227,Residencial,Pacifica,169.7,136.2,69.0,4.35,3,121,25.1,0.826,22.2,5,-1.5154,2.5488,0,1,0.6101
CL-0228,Comercial,Pacifica,1251.6,877.1,238.6,19.76,28,197,26.7,0.919,9.1,0,1.4347,-1.32,1,0,0.5604
CL-0229,Comercial,Caribe,2437.6,1759.3,306.0,23.67,39,311,28.0,0.795,25.1,3,2.691,2.226,3,3,0.528
CL-0230,Residencial,Andina,132.3,110.5,41.1,4.22,4,106,20.9,0.907,13.3,0,-2.0827,-0.4444,2,2,0.6242
CL-0231,Residencial,Caribe,74.9,60.0,30.8,3.1,3,60,29.0,0.912,12.3,1,-3.0456,-0.221,2,2,0.4777
CL-0232,Residencial,Caribe,227.2,189.8,62.2,3.75,6,163,31.6,0.942,8.5,1,-1.3719,-1.1034,2,2,0.6195
CL-0233,Industrial,Andina,8348.8,5304.3,703.7,51.19,53,508,17.5,0.907,10.9,0,4.0086,-1.2842,1,0,0.5061
CL-0234,Comercial,Caribe,801.0,503.4,209.4,11.25,13,203,30.7,0.857,18.2,1,0.7825,0.5527,3,3,0.183
CL-0235,Industrial,Andina,7372.3,4626.8,402.8,50.45,22,560,17.6,0.939,8.3,1,3.3552,-1.5673,1,0,0.6062
CL-0236,Industrial,Andina,5081.2,3392.3,499.6,34.31,66,510,19.7,0.901,10.3,2,3.58,-0.7178,1,0,0.4154
CL-0237,Residencial,Caribe,179.4,137.2,44.2,4.53,4,110,29.1,0.9,14.9,0,-1.8467,-0.2339,2,2,0.5323
CL-0238,Comercial,Andina,1478.9,1054.8,137.6,13.56,10,332,18.0,0.953,7.8,2,0.9781,-1.267,1,0,0.4624
CL-0239,Residencial,Andina,168.7,147.1,62.2,3.95,6,117,17.7,0.86,16.5,0,-1.4921,0.3134,2,1,0.117
CL-0240,Residencial,Pacifica,242.7,193.0,58.6,5.7,4,109,25.4,0.853,20.5,4,-1.2999,1.8195,0,1,0.6463
CL-0241,Industrial,Pacifica,8568.4,5484.2,573.7,57.06,49,450,26.8,0.887,11.9,2,3.9586,-0.4409,1,0,0.2476
CL-0242,Comercial,Caribe,1865.2,1255.2,206.4,17.97,20,286,33.5,0.945,6.2,1,1.547,-1.6455,1,0,0.5605
CL-0243,Residencial,Pacifica,119.9,104.7,30.9,2.83,2,131,25.5,0.944,10.0,2,-2.6191,-0.5974,2,2,0.6494
CL-0244,Comercial,Pacifica,943.2,667.4,155.4,10.48,17,261,26.8,0.904,13.2,1,0.8718,-0.4567,1,0,0.3215
CL-0245,Comercial,Andina,1933.1,1375.1,308.9,22.61,20,224,19.5,0.942,6.3,0,1.7049,-1.8678,1,0,0.5529
CL-0246,Industrial,Andina,3482.6,2349.6,284.1,26.85,25,486,19.3,0.917,11.3,0,2.6,-1.2273,1,0,0.6313
CL-0247,Comercial,Andina,549.4,400.4,71.4,7.53,11,257,17.0,0.976,2.4,0,-0.2439,-2.4519,2,0,0.0247
CL-0248,Residencial,Andina,36.5,28.9,27.7,2.27,3,50,12.2,0.936,8.3,3,-3.7279,-0.2756,2,2,0.4307
CL-0249,Residencial,Caribe,49.8,39.8,52.9,3.54,5,44,30.0,0.886,16.6,5,-2.8125,1.5263,0,1,0.5447
CL-0250,Residencial,Andina,177.4,148.3,76.5,5.01,4,135,12.6,0.961,9.0,0,-1.5947,-1.4895,2,2,0.6017
CL-0251,Comercial,Andina,736.6,509.9,162.8,15.21,13,143,19.9,0.824,19.7,1,0.666,1.0718,3,3,0.1141
CL-0252,Industrial,Andina,14622.9,8566.1,906.7,82.47,88,489,17.3,0.769,25.8,3,5.1293,2.3338,3,3,0.5177
CL-0253,Residencial,Andina,42.5,34.8,14.8,1.91,2,88,19.0,0.987,4.7,0,-3.9844,-1.9646,2,2,0.5536
CL-0254,Residencial,Pacifica,280.5,216.4,53.8,4.57,6,169,24.2,0.903,15.3,6,-1.0601,1.2639,0,1,0.5395
CL-0255,Residencial,Andina,182.1,159.0,90.6,6.02,9,88,13.9,0.847,19.7,1,-1.0554,1.006,0,1,0.4315
CL-0256,Comercial,Andina,665.1,475.6,97.8,7.1,10,290,17.5,0.93,9.9,0,0.1093,-1.2596,1,0,0.0686
CL-0257,Industrial,Andina,3251.9,2005.9,593.0,25.46,29,462,16.9,0.94,8.8,2,2.8278,-1.2041,1,0,0.6143
CL-0258,Residencial,Andina,120.9,96.3,41.0,3.38,3,115,16.0,0.911,12.0,1,-2.3059,-0.3362,2,2,0.5774
CL-0259,Residencial,Caribe,165.1,125.1,50.7,3.02,5,143,29.2,0.782,24.0,4,-1.4656,2.9147,0,1,0.551
CL-0260,Comercial,Andina,820.1,556.6,154.2,10.66,10,239,22.5,0.912,9.5,0,0.4843,-1.134,1,0,0.2732
CL-0261,Residencial,Andina,263.9,225.2,91.3,3.83,8,155,18.7,0.808,25.6,2,-0.6827,2.2067,0,1,0.5248
CL-0262,Industrial,Andina,10184.5,7099.9,1234.2,74.62,93,435,19.1,0.938,8.0,1,4.6065,-1.6768,1,0,0.4693
CL-0263,Residencial,Pacifica,173.3,146.2,48.9,4.67,5,123,27.7,0.949,6.5,2,-1.7487,-1.0695,2,2,0.6867
CL-0264,Residencial,Caribe,441.4,360.7,146.0,7.16,9,152,32.0,0.843,17.3,1,-0.0702,0.6994,0,1,0.1843
CL-0265,Industrial,Caribe,7368.6,4634.4,367.2,45.75,73,510,28.6,0.898,9.9,0,3.7612,-1.2702,1,0,0.5359
CL-0266,Residencial,Caribe,397.4,313.4,70.9,5.88,10,196,24.9,0.802,25.2,4,-0.1738,2.6956,0,1,0.3606
CL-0267,Residencial,Caribe,134.4,119.3,48.3,5.42,3,76,28.6,0.893,17.0,2,-2.0972,0.6125,0,1,0.1424
CL-0268,Residencial,Andina,70.9,57.7,57.7,4.27,6,48,18.6,0.8,26.5,1,-2.2427,2.3052,0,1,0.6597
CL-0269,Residencial,Andina,105.4,93.7,70.8,5.06,5,65,15.1,0.953,7.3,0,-2.1698,-1.4883,2,2,0.6647
CL-0270,Residencial,Caribe,1185.2,1026.0,182.2,20.35,13,140,28.6,0.826,23.5,1,1.1521,1.3873,3,3,0.3072
CL-0271,Residencial,Andina,339.2,258.8,69.1,7.66,7,132,15.6,0.879,14.0,0,-0.7744,-0.2055,2,2,0.4173
CL-0272,Residencial,Pacifica,113.8,90.8,51.6,3.08,3,115,29.0,0.908,15.2,3,-2.2238,0.5333,0,1,0.0576
CL-0273,Residencial,Andina,101.1,80.6,92.9,5.24,9,59,18.5,0.844,18.9,3,-1.613,1.552,0,1,0.6322
CL-0274,Comercial,Caribe,1280.7,906.4,155.4,10.75,11,295,30.3,0.841,20.3,1,1.087,0.8837,3,3,0.3008
CL-0275,Comercial,Pacifica,814.1,576.6,169.8,12.08,11,205,27.2,0.913,9.9,2,0.5704,-0.5789,1,0,0.2288
CL-0276,Residencial,Caribe,303.4,278.6,79.4,5.65,6,162,28.9,0.957,5.5,1,-0.9759,-1.5938,2,0,0.434
CL-0277,Residencial,Pacifica,384.4,301.6,50.3,3.92,4,239,26.4,0.807,24.3,7,-0.7273,3.3809,0,1,0.392
CL-0278,Comercial,Caribe,2034.5,1457.7,220.2,19.88,23,276,26.6,0.829,20.5,2,2.0166,1.2137,3,3,0.5425
CL-0279,Industrial,Pacifica,6854.4,4495.0,563.1,41.2,59,506,21.6,0.934,10.7,1,3.7428,-1.3004,1,0,0.5424
CL-0280,Industrial,Andina,14394.6,9212.0,638.4,77.21,89,458,17.3,0.82,19.7,1,4.7888,0.7001,3,3,0.3517
CL-0281,Residencial,Andina,61.0,50.2,83.2,4.96,10,40,17.6,0.915,7.7,0,-2.3342,-1.0113,2,2,0.7247
CL-0282,Residencial,Caribe,97.3,76.5,18.0,3.05,2,83,31.4,0.977,7.9,0,-3.2829,-1.6001,2,2,0.6366
CL-0283,Residencial,Andina,130.7,107.6,53.8,5.7,6,61,20.1,0.827,26.8,1,-1.7481,1.996,0,1,0.6814
CL-0284,Residencial,Andina,47.8,40.0,31.5,3.61,3,45,20.1,0.863,17.8,2,-3.2132,1.1281,0,1,0.3642
CL-0285,Comercial,Pacifica,631.5,454.2,91.4,6.44,7,338,24.0,0.952,7.3,3,-0.0547,-0.9535,2,0,0.0652
CL-0286,Residencial,Caribe,137.3,115.2,51.5,3.47,4,122,28.3,0.92,11.0,1,-1.9991,-0.5577,2,2,0.6607
CL-0287,Residencial,Andina,167.8,145.3,43.2,4.74,4,127,18.0,0.947,5.6,1,-1.8919,-1.3911,2,2,0.6609
CL-0288,Residencial,Andina,148.0,125.9,36.1,4.02,3,96,22.1,0.779,26.9,2,-1.9252,2.7642,0,1,0.6016
CL-0289,Comercial,Andina,1698.3,1209.2,207.4,18.64,21,252,20.0,0.866,12.8,1,1.6578,-0.166,1,0,0.2676
CL-0290,Residencial,Andina,115.1,89.9,53.5,2.03,2,153,19.2,0.895,16.1,1,-2.3912,0.2362,2,1,0.2215
CL-0291,Industrial,Pacifica,5149.2,3216.4,631.8,26.57,51,479,25.2,0.797,20.1,7,3.7369,2.6519,3,3,0.5202
CL-0292,Residencial,Andina,97.4,79.2,41.6,2.57,3,134,15.2,0.939,7.7,0,-2.5298,-1.3062,2,2,0.7014
CL-0293,Industrial,Andina,3460.5,2237.0,503.2,28.81,99,471,18.6,0.922,9.7,0,3.3532,-1.4986,1,0,0.603
CL-0294,Residencial,Caribe,153.1,123.1,49.3,4.73,5,95,26.8,0.938,9.8,1,-1.9252,-0.8612,2,2,0.7094
CL-0295,Industrial,Andina,4850.7,2988.3,247.2,33.33,32,417,16.5,0.81,21.0,2,3.0667,1.3488,3,3,0.5997
CL-0296,Industrial,Andina,7479.6,4559.4,744.1,57.88,50,391,16.8,0.872,13.6,2,3.9589,-0.1071,1,0,0.0471
CL-0297,Industrial,Caribe,5773.6,3451.1,471.6,27.42,79,468,32.2,0.926,9.6,0,3.4527,-1.5571,1,0,0.5966
CL-0298,Industrial,Caribe,3307.2,2096.7,230.6,17.21,28,483,28.3,0.92,6.6,0,2.2907,-1.6954,1,0,0.6221
CL-0299,Comercial,Pacifica,431.5,288.3,59.5,5.87,8,202,21.1,0.887,16.7,3,-0.532,0.7266,0,1,0.2512
CL-0300,Comercial,Caribe,1972.8,1344.7,150.7,20.07,11,258,30.0,0.788,25.0,3,1.6232,2.3875,3,3,0.307
